qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
A0A6A6MU27.1,A0A804PSI5.1,44.898,147,46,4,52,198,35,146,3.58e-28,107
A0A6A6MU27.1,A0A8T2T131.1,37.975,158,84,3,48,196,59,211,5.84e-28,107
A0A6A6MU27.1,A0A9E7LCR9.1,38.021,192,92,5,19,192,71,253,2.15e-26,102
A0A8T2T131.1,A0A8T2T131.1,100.000,593,0,0,1,593,1,593,0.0,1224
A0A8T2T131.1,A0A8T2QHP0.1,43.960,596,277,15,1,558,1,577,3.22e-122,365
A0A8T2T131.1,A0A061FV42.1,38.559,236,117,6,59,287,48,262,5.85e-32,117
A0A8T2T131.1,A0A7J7C9N5.1,36.293,259,140,6,59,312,46,284,9.67e-32,119
A0A8T2T131.1,A0A1R3IG29.1,35.802,243,130,5,59,295,52,274,5.29e-30,114
A0A8T2T131.1,A0A6P6X6Z4.1,34.615,234,134,5,58,287,47,265,3.11e-28,109
A0A8T2T131.1,M1CKX2.1,33.200,250,140,5,59,301,45,274,4.33e-28,108
A0A8T2T131.1,A0A6A6MU27.1,37.975,158,84,3,59,211,48,196,8.73e-28,107
A0A8T2T131.1,J3KVP0.1,30.196,255,152,6,63,313,29,261,2.61e-27,105
A0A8T2T131.1,A0A4P1RTN8.1,37.013,154,87,2,59,211,47,191,6.41e-27,105
A0A8T2T131.1,A0A445BPW7.1,36.481,233,121,6,59,286,35,245,2.67e-26,103
A0A8T2T131.1,A0A8B8MFL1.1,39.189,148,84,3,65,211,1,143,1.31e-25,100
A0A8T2T131.1,A0A6P5YBE8.1,39.130,230,112,7,65,287,54,262,2.70e-25,100
A0A8T2T131.1,A0A1R3HBE1.1,39.007,141,77,2,59,197,52,185,1.07e-23,94.4
A0A8T2T131.1,A0A445G487.1,32.830,265,162,7,59,321,47,297,1.69e-23,94.4
A0A8T2T131.1,V7AZL8.1,34.940,166,78,5,65,217,51,199,3.77e-23,91.7
A0A8T2T131.1,A0A9D5AS74.1,34.839,155,95,2,59,212,51,200,1.18e-22,92.0
A0A8T2T131.1,A0A059CY44.1,33.852,257,149,7,59,312,44,282,1.24e-21,89.0
A0A8T2T131.1,A0A9E7LCR9.1,76.471,51,12,0,65,115,101,151,3.25e-21,87.8
A0A8T2T131.1,A0A804PSI5.1,69.231,52,16,0,63,114,35,86,1.76e-18,78.6
A0A8B8MFL1.1,A0A8B8MFL1.1,100.000,447,0,0,1,447,1,447,0.0,902
A0A8B8MFL1.1,A0A4P1RTN8.1,63.319,458,140,7,1,443,53,497,1.84e-175,492
A0A8B8MFL1.1,A0A445BPW7.1,63.478,460,139,5,1,437,41,494,2.36e-172,484
A0A8B8MFL1.1,A0A445G487.1,62.690,461,126,7,1,447,53,481,4.61e-162,457
A0A8B8MFL1.1,A0A9D5AS74.1,57.588,481,156,9,1,447,57,523,1.49e-157,447
A0A8B8MFL1.1,A0A7J7C9N5.1,52.431,473,188,7,1,438,52,522,6.89e-135,390
A0A8B8MFL1.1,A0A6P5YBE8.1,51.760,483,187,10,1,445,54,528,1.92e-128,374
A0A8B8MFL1.1,A0A1R3IG29.1,50.515,485,191,10,1,445,58,533,1.07e-120,354
A0A8B8MFL1.1,V7AZL8.1,75.089,281,67,2,1,278,51,331,9.62e-118,340
A0A8B8MFL1.1,A0A059CY44.1,48.649,481,192,9,1,438,50,518,7.31e-108,320
A0A8B8MFL1.1,A0A6P6X6Z4.1,48.739,476,206,9,1,441,54,526,1.04e-107,320
A0A8B8MFL1.1,M1CKX2.1,51.467,443,175,12,1,412,51,484,6.02e-104,310
A0A8B8MFL1.1,A0A061FV42.1,58.511,282,107,5,1,278,54,329,1.72e-88,265
A0A8B8MFL1.1,A0A6A6MU27.1,41.099,455,174,9,1,429,54,440,1.29e-84,258
A0A8B8MFL1.1,A0A9E7LCR9.1,36.975,476,223,13,1,437,101,538,4.12e-51,172
A0A8B8MFL1.1,J3KVP0.1,31.490,416,215,12,1,393,31,399,2.10e-45,155
A0A8B8MFL1.1,A0A1R3HBE1.1,31.236,461,200,12,1,445,58,417,2.85e-45,154
A0A8B8MFL1.1,A0A804PSI5.1,33.254,418,202,13,1,393,37,402,4.53e-41,143
A0A8B8MFL1.1,A0A8T2QHP0.1,40.994,161,86,5,1,153,77,236,6.94e-30,113
A0A8B8MFL1.1,A0A8T2T131.1,36.323,223,127,6,1,209,65,286,3.81e-27,104
A0A445G487.1,A0A445G487.1,100.000,481,0,0,1,481,1,481,0.0,979
A0A445G487.1,A0A4P1RTN8.1,72.400,500,110,3,1,476,1,496,0.0,665
A0A445G487.1,A0A9D5AS74.1,68.639,507,117,4,15,481,19,523,0.0,596
A0A445G487.1,A0A445BPW7.1,57.937,504,156,5,16,473,4,497,1.22e-178,502
A0A445G487.1,A0A7J7C9N5.1,53.333,525,192,4,1,473,1,524,1.02e-163,465
A0A445G487.1,A0A6P5YBE8.1,54.034,533,181,8,3,479,4,528,9.65e-159,452
A0A445G487.1,A0A8B8MFL1.1,62.690,461,126,7,53,481,1,447,3.05e-156,443
A0A445G487.1,M1CKX2.1,51.744,516,186,10,1,463,1,506,3.67e-141,407
A0A445G487.1,A0A1R3IG29.1,52.336,535,186,10,1,473,1,528,2.98e-140,405
A0A445G487.1,V7AZL8.1,68.168,333,92,4,1,321,1,331,4.65e-129,370
A0A445G487.1,A0A059CY44.1,49.614,518,193,6,17,475,14,522,8.89e-127,370
A0A445G487.1,A0A6A6MU27.1,46.541,477,198,9,1,457,1,440,4.00e-121,353
A0A445G487.1,A0A061FV42.1,59.760,333,118,4,1,321,1,329,1.73e-118,343
A0A445G487.1,A0A6P6X6Z4.1,46.729,535,215,12,1,474,1,526,5.27e-118,348
A0A445G487.1,A0A9E7LCR9.1,38.386,508,243,13,9,473,70,550,2.60e-68,219
A0A445G487.1,J3KVP0.1,34.184,392,214,9,51,419,29,399,3.74e-62,201
A0A445G487.1,A0A1R3HBE1.1,59.016,183,69,3,1,178,1,182,1.82e-55,182
A0A445G487.1,A0A804PSI5.1,33.732,418,178,12,51,419,35,402,5.31e-49,166
A0A445G487.1,A0A8T2QHP0.1,30.072,419,222,13,47,425,71,458,7.93e-35,128
A0A445G487.1,A0A8T2T131.1,32.963,270,155,7,47,297,59,321,4.46e-27,105
A0A6P5YBE8.1,A0A6P5YBE8.1,100.000,530,0,0,1,530,1,530,0.0,1085
A0A6P5YBE8.1,A0A1R3IG29.1,81.308,535,95,4,1,530,1,535,0.0,783
A0A6P5YBE8.1,A0A7J7C9N5.1,67.235,528,160,6,1,521,1,522,0.0,634
A0A6P5YBE8.1,A0A061FV42.1,85.799,338,48,0,1,338,1,338,0.0,549
A0A6P5YBE8.1,M1CKX2.1,57.974,533,195,12,8,527,7,523,9.25e-172,487
A0A6P5YBE8.1,A0A4P1RTN8.1,55.323,526,192,8,4,522,3,492,5.16e-170,482
A0A6P5YBE8.1,A0A059CY44.1,58.058,515,189,7,21,521,17,518,1.13e-169,482
A0A6P5YBE8.1,A0A9D5AS74.1,55.513,517,202,8,21,528,24,521,2.48e-163,466
A0A6P5YBE8.1,A0A6P6X6Z4.1,57.551,490,188,10,46,524,46,526,7.77e-163,464
A0A6P5YBE8.1,A0A445BPW7.1,52.418,517,212,10,17,522,3,496,1.60e-153,440
A0A6P5YBE8.1,A0A445G487.1,54.845,516,169,8,21,528,20,479,1.23e-152,437
A0A6P5YBE8.1,A0A6A6MU27.1,51.451,517,168,13,1,509,1,442,3.27e-149,427
A0A6P5YBE8.1,A0A1R3HBE1.1,80.435,230,44,1,302,530,190,419,9.01e-121,353
A0A6P5YBE8.1,A0A8B8MFL1.1,51.553,483,188,10,54,528,1,445,8.06e-116,341
A0A6P5YBE8.1,V7AZL8.1,58.754,337,122,6,19,344,16,346,1.94e-106,314
A0A6P5YBE8.1,A0A9E7LCR9.1,36.994,519,229,16,43,522,90,549,1.01e-58,195
A0A6P5YBE8.1,J3KVP0.1,34.043,423,218,9,52,465,29,399,6.05e-56,185
A0A6P5YBE8.1,A0A804PSI5.1,34.043,470,210,18,52,491,35,434,6.97e-48,164
A0A6P5YBE8.1,A0A8T2QHP0.1,36.630,273,141,10,48,296,71,335,4.66e-34,126
A0A6P5YBE8.1,A0A8T2T131.1,38.136,236,118,7,48,262,59,287,3.38e-30,115
J3KVP0.1,J3KVP0.1,100.000,451,0,0,1,451,1,451,0.0,919
J3KVP0.1,A0A804PSI5.1,42.796,465,175,13,28,446,34,453,2.27e-89,271
J3KVP0.1,M1CKX2.1,32.819,454,225,12,8,400,31,465,7.31e-51,171
J3KVP0.1,A0A6P6X6Z4.1,44.196,224,118,3,29,245,52,275,4.61e-50,169
J3KVP0.1,A0A7J7C9N5.1,32.777,479,243,16,29,441,50,515,1.63e-49,167
J3KVP0.1,A0A445G487.1,33.929,392,215,8,29,399,51,419,1.98e-49,166
J3KVP0.1,A0A9E7LCR9.1,33.333,423,247,8,12,402,83,502,3.03e-49,167
J3KVP0.1,A0A4P1RTN8.1,31.974,466,254,14,29,450,51,497,2.25e-45,155
J3KVP0.1,A0A061FV42.1,41.322,242,120,4,29,257,52,284,2.82e-45,152
J3KVP0.1,A0A445BPW7.1,32.401,429,208,11,29,399,39,443,3.85e-45,155
J3KVP0.1,A0A059CY44.1,30.707,495,231,14,29,440,48,513,2.85e-44,153
J3KVP0.1,A0A9D5AS74.1,29.400,483,247,11,29,444,55,510,2.89e-44,153
J3KVP0.1,A0A6P5YBE8.1,34.043,423,218,9,29,399,52,465,1.07e-43,152
J3KVP0.1,A0A1R3IG29.1,39.914,233,136,2,29,257,56,288,7.01e-41,144
J3KVP0.1,V7AZL8.1,38.760,258,146,4,11,257,28,284,3.94e-39,135
J3KVP0.1,A0A6A6MU27.1,44.156,154,73,3,29,174,52,200,8.87e-38,134
J3KVP0.1,A0A8B8MFL1.1,37.387,222,126,5,31,243,1,218,1.05e-31,117
J3KVP0.1,A0A1R3HBE1.1,48.462,130,65,1,29,156,56,185,1.00e-30,114
J3KVP0.1,A0A8T2T131.1,29.020,255,155,6,29,261,63,313,5.13e-25,98.2
J3KVP0.1,A0A8T2QHP0.1,28.626,262,135,5,28,253,74,319,6.29e-25,98.2
M1CKX2.1,M1CKX2.1,100.000,525,0,0,1,525,1,525,0.0,1067
M1CKX2.1,A0A6P6X6Z4.1,65.333,525,165,11,1,512,1,521,0.0,561
M1CKX2.1,A0A7J7C9N5.1,60.190,525,191,10,1,512,1,520,0.0,532
M1CKX2.1,A0A1R3IG29.1,61.815,529,172,13,5,513,7,525,1.39e-179,507
M1CKX2.1,A0A6P5YBE8.1,57.411,533,198,12,7,523,8,527,2.48e-175,496
M1CKX2.1,A0A9D5AS74.1,55.131,497,195,9,22,507,28,507,4.51e-154,442
M1CKX2.1,A0A059CY44.1,56.725,513,184,12,18,512,24,516,3.90e-152,437
M1CKX2.1,A0A4P1RTN8.1,52.783,521,205,10,1,512,1,489,2.03e-150,432
M1CKX2.1,A0A445BPW7.1,54.733,486,198,10,14,494,4,472,3.22e-148,426
M1CKX2.1,A0A445G487.1,51.859,511,183,10,1,501,1,458,2.53e-134,390
M1CKX2.1,A0A061FV42.1,63.743,342,113,5,3,340,4,338,7.57e-127,366
M1CKX2.1,A0A6A6MU27.1,46.821,519,182,15,1,502,1,442,2.59e-118,348
M1CKX2.1,V7AZL8.1,57.224,353,137,6,1,346,1,346,1.77e-104,309
M1CKX2.1,A0A8B8MFL1.1,51.693,443,174,12,51,484,1,412,1.37e-97,294
M1CKX2.1,A0A1R3HBE1.1,61.386,202,62,7,324,512,210,408,4.45e-68,216
M1CKX2.1,J3KVP0.1,33.260,454,223,13,31,465,8,400,3.47e-61,199
M1CKX2.1,A0A9E7LCR9.1,38.306,496,223,13,42,504,92,537,6.53e-55,185
M1CKX2.1,A0A804PSI5.1,36.322,435,191,16,49,464,35,402,2.28e-52,176
M1CKX2.1,A0A8T2QHP0.1,38.000,250,138,6,45,278,71,319,5.12e-37,135
M1CKX2.1,A0A8T2T131.1,34.400,250,137,6,45,274,59,301,3.11e-30,115
